,Rating,Company Name,Location,Headquarters,Type of ownership,Industry,Sector,Revenue,avgsal,company name,same state,company age,AI_job
0,3.8,"Samsung Research America
3.8","Mountain View, CA",-1,Subsidiary or Business Segment,Computer Hardware & Software,Information Technology,$50 to $100 million (USD),201.0,Samsung Research America,0,32,1
1,5.0,"Grammarly
5.0","San Francisco, CA",-1,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,134.5,Grammarly,0,11,1
2,3.1,"Waymo
3.1","Mountain View, CA",-1,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,111.0,Waymo,0,11,0
3,4.2,"Evernote
4.2","Redwood City, CA",-1,Company - Private,Computer Hardware & Software,Information Technology,$50 to $100 million (USD),155.0,Evernote,0,12,0
4,3.9,"Grid Dynamics
3.9","San Francisco, CA",-1,Company - Private,Enterprise Software & Network Solutions,Information Technology,$50 to $100 million (USD),126.0,Grid Dynamics,0,14,1
5,4.5,"C3.ai
4.5","Redwood City, CA",-1,Company - Private,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD),143.0,C3.ai,0,11,1
6,4.3,"Entefy
4.3","Palo Alto, CA",-1,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,122.5,Entefy,0,8,0
7,2.9,"realtor.com
2.9","Santa Clara, CA",-1,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,159.5,realtor.com,0,27,0
8,3.5,"Wish
3.5","San Francisco, CA",-1,Company - Private,Other Retail Stores,Retail,$1 to $2 billion (USD),149.5,Wish,0,9,0
